Report generated on: 11-04-2020 09:50:59
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.55-1-AGO-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","150","130","122","177","208","231","282","360","452","455","475","500","526","509.0002465753425","536.3972602739726","646.2328767123288","708.7841530054645","713.8082191780821","735.082191780822","744.917808219178","746.4043715846994","742.3835616438356","896.3698630136986","902.5479452054794","1054.72131147541","1249.517808219178","1420.2828630136987","1748.0088301369863","1960.6945081967212","1886.8082191780823","1918.5205479452054","1765.6164383561643","1797.049180327869","1814.6575342465753","1756.6164383561643","1829.03501369863","1797.8557540983606","1707.5478493150686","1656.282095890411","1512.7478493150686"
"INTL.57-1-AGO-TBPD.A","                Crude oil including lease condensate (Mb/d)","162","169","165","108","194","131","147","150","130","122","177.0054794520548","208.02459016393442","231.0000794520548","282.000298630137","360.00018630136987","452.0081967213115","455.0003178082192","475.00051232876706","500.0002219178082","526.3200464480875","509.0002465753425","536.3972602739726","646.2328767123288","708.7841530054645","713.8082191780821","735.082191780822","744.917808219178","746.4043715846994","742.3835616438356","896.3698630136986","902.5479452054794","1051.72131147541","1239.1260273972603","1398.013698630137","1723.5237452054794","1950.6945081967212","1876.8082191780823","1908.5205479452054","1755.6164383561643","1787.049180327869","1802.6575342465753","1741.6164383561643","1801.86301369863","1769.6147540983607","1665.7452054794521","1593.041095890411","1447.5068493150684"
"INTL.58-1-AGO-TBPD.A","                NGPL (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","10.391780821917807","22.269164383561645","24.48508493150685","10","10","10","10","10","12","15","27","28","41.56164383561644","63","65"
"INTL.59-1-AGO-TBPD.A","                Other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.172","0.241","0.241","0.241","0.241"
"INTL.56-1-AGO-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","0","0","0","0","0","0","-0.7","-0.7","-0.7","-0.7","-0.6","-0.7","-0.6","-0.6","-0.6","-0.8","-0.6","-0.6","-0.5","-0.4","-0.291258974961749","-0.479440710536986","-0.226856486093151","-0.243223548515068","-0.306279621715683","-0.289","-0.366","-0.504","-0.488","-0.513","-0.528","-0.589","-0.579","-0.631","-0.861","-1.113","-1.113","-1.113","-1.113","-1.113"
"","Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-ATA-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-ATA-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-ATA-TBPD.A","                Crude oil including lease condensate (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
